Sentence,Global start,Global end
Watching NASA TV.,0.119940005,1.6194401
This is mission control Houston.,14.572361,16.63158
Good morning.,16.651321,17.291
"You're getting a live view from the inside of the International Space Station onboard at the forward end of your view, the seeing the back of his head right now is NASA astronaut Mike Hopkins.",17.291,27.57478
"He's assisting along with Japan aerospace exploration agency astronaut, Switching Naguchi, who is out of frame For two American astronauts who are about to conduct a spacewalk today to prepare for future upgrades to the International Space Station's power systems.",27.57478,42.60602
"Already suited up and in between in suit light exercise activities to purge the nitrogen from their bloodstream they breathe one hundred percent oxygen inside those suits, our NASA astronauts Victor Glover, who is situated on the left there, and NASA astronaut Kate Reubins.",45.794083,63.113964
Kate Reubins is taking the position of EV one as the lead for today's space watch.,63.733402,68.531006
She'll be wearing the suit with the red stripes make their glover the suit with no stripes.,68.531006,73.148445
Both American astronauts have conducted three spacewalks in their career.,73.9278,77.72591
"Kate Rubens, two previously, on her former flight, Victor Glover, the two previous spacewalks on this flight.",77.72591,84.29287
You see they're almost matching in terms of total career space walking time.,85.35209,89.78958
"The space walk will be the two hundred and thirty fifth in support of international space station assembly, maintenance and upgrades, and the third of this year.",90.48898,98.105
The fourth spacewalk for expedition sixty four.,98.14498,101.28366
The what you're seeing now is the International Space Station flight control room.,106.79977,111.77753
Team's as part of the orbit one shift are preparing our two astronauts for their excursion today.,112.876724,119.92299
"They'll be handing over to the Orbit two teams here shortly who will be positioned in the ficker one, the room just down the hall, and they'll be leading our two astronauts through their procedures today.",119.92299,134.0856
"Again, the goal of today's spacewalk is to prepare for futures upgrades to the space station's power systems.",139.18279,145.47842
This will be the arrival of future solar arrays.,145.85799,149.71631
The goal today is to install some mounting brackets that will eventually hold the future solar arrays.,150.6448,157.4414
"What you're seeing now is the configuration the planned configuration for when those rollout solar arrays eventually arrive on the International Space Station, the first set set to arrive later this year.",157.4414,167.57608
Rubens and Glover will be working on the first two solar arrays.,169.4343,174.75163
Is it on the far port side of the International Space Station.,174.75163,178.38857
What you're saying are the four b and the two b channels.,178.44829,181.14719
"You can see solar rays are planned to go, take those two positions on the nadir and Zenith or Earth facing and Spacefacing side of the International Space Station.",181.56673,190.64209
And what you're seeing now is the planned configuration for when those six solar arrays are all configured in their respective power channels.,191.45996,200.31578
There are six there are six of the eight power channels are going to be augmented with solar arrays.,202.01443,207.77155
You can see the existing solar arrays will not be leaving.,207.77155,210.11978
They'll be held in place and continue to draw power.,210.11978,212.5788
But they are showing signs of degradation as is expected with with the solar rays through their life.,212.63852,218.39563
"They're expected for about ten years to provide power, and they've been running smoothly for about fifteen, though slowly, just not able to draw as much power.",218.39563,227.29141
So the solar array plan now that you're seeing with the rollout.,227.48999,230.20863
Solar arrays will augment the existing supply bring it up to about two hundred and fifteen kilowatts.,230.20863,235.5862
When the configuration is fully set in place with all six solar arrays and provide power for all the scientific experiments upgrades and commercial activity planned aboard the International Space Station for the remainder of its life.,236.43466,250.72751
Suicina Gucci.,252.06659,252.94615
Now back in as the suit IV.,252.94615,255.37408
It is his role today taking lead and walking through our two astronauts.,255.37408,260.51175
"And getting them set up with all their tools and space suits, getting ready for heading out the door today.",260.86996,266.66708
The planned exit time is just about an hour and a half from now.,266.66708,270.745
Five AM central time is the planned time to start today's spacewalk.,271.38467,275.4429
The official start time of the spacewalk will officially begin when the suits themselves are switched to battery power.,275.78247,283.96738
"This will be after the depressurization of the crew lock, which you see at the back of your view here.",284.267,291.48358
"Three, two, one, and exercise.",294.5418,297.80045
That completes all ten cycles.,298.9296,300.68872
"Great job, guys.",300.68872,301.6685
And I just an update for you.,301.80817,303.90735
"We've compared all the data, the fan and pump signature to the previous two EVAs that you performed.",304.04703,309.61374
Everything looks nice and solid.,309.61374,311.093
Everything compares well.,311.093,312.5323
We have good confidence in the system.,312.5323,314.7514
What you just heard was the astronauts completing their in suit?,324.30374,327.76227
The astronauts completing their in suit light exercise.,330.96896,333.58792
They're just very subtle movements inside the suit.,333.76758,336.76498
To get the blood flowing and purge nitrogen from their bodies as they breathe one hundred percent oxygen in the suit.,337.08484,343.6218
"The soups themselves are hooked up to the International Space Station, which is providing the oxygen at this time.",344.14996,351.08673
"But once the suits are switched to battery power and the o two actuators are switched, they'll be relying on the oxygen within the suits themselves.",351.5248,360.70047
The astronauts are being outfitted with some of their tools and tethers needed to complete today's excursion.,366.30737,372.2033
There's gonna need quite a few of them as their worksite today is at the very far port end of the International Space Station.,372.22302,378.5387
This is the p six worksite all the way at the far port or left side if you're facing the forward end of the International Space Station.,378.5387,386.42368
"They'll be working on the, again, four b and two b power channels.",386.4834,390.64133
This is on the Earth facing and space facing side of that p six truss.,390.64133,395.23862
Their work sites today include the masked canisters of the current solar arrays.,395.978,400.99576
The mass canister is the soda can looking fixture at the bottom of the of the solar arrays.,402.46472,408.56192
And you can see the configuration now.,408.82153,410.42075
Once the mat the fixture is or the brackets that they'll be working on today.,410.42075,415.63748
"Once that's affixed to the mass canister themselves, you can see the irosa Once deployed, we'll take out just a little bit more than half of the full length of the original solar arrays.",415.63748,426.4818
Those irosa solar arrays standing just a little bit more than sixty feet.,426.78143,432.45865
The original solar arrays themselves are about one hundred and twelve feet long as comparison.,432.91818,437.25626
"Here are the roll out solar arrays fully deployed, about sixty feet in length contracted by deployable safe spaces systems, and of course, Boeing, who who was originally contracted to build the solar arrays, deployable space systems, one of their one of the folks they worked with.",438.01474,454.7258
About to step into NeoMedox replacement.,455.08493,457.8638
"Prior to that, we'd like you to go ahead and do another reeva cycle on Kate.",458.36328,464.02072
E b one.,464.6998,465.63956
So that'd be cycle the riva to off.,465.8592,468.79797
Wait ten seconds of time and cycle it back to on.,468.89767,472.39618
K.,477.4526,477.9526
EMU one on the reaver of which ten second.,478.2522,481.74948
"One zero second, then back on.",481.74948,483.54858
In work.,483.54858,484.2485
Good read.,485.10782,485.5476
"And again, this is just troubleshooting the EDR.",485.5476,487.7465
Everything else looks great.,487.7465,488.83496
"Naguchi and Hopkins suit IVs for today getting our two space walking astronauts, Victor Glover, on the and Kate Ruben's on the right.",499.2888,507.43436
Only reaver off waited ten seconds and now back on.,508.3939,512.49207
"And I believe you're doing the troubleshoot for her car, but not either.",512.67175,516.08997
"Actually, it was for EDAR.",519.6082,521.22766
"HeKA was checked out fine, but it's for EDAR, we lost EEDAR on Kate.",521.2474,526.6046
Okay.,530.7023,531.02216
My bad.,531.02216,531.42194
Okay.,531.42194,531.78174
I understand.,531.78174,532.3617
But now it's back off.,532.58136,534.0009
And we are standing by for one of your dogs with dogs.,534.1799,537.4385
Copy.,539.01746,539.4972
"And we just got eat our data back, so that's a good troubleshooting bear.",539.4972,543.52496
And we are ready for you to step into me and my other change out.,543.6049,548.66266
Okay.,552.78894,553.28894
"And ten thirty three for EMU one, ten thirty four for EV to in work for two decimal one two zero.",553.30865,563.3026
Good number.,564.7216,565.32135
It's gonna continue.,565.32135,566.2611
"Again, Naguchi and Hopkins continuing to trouble shoot to some of those last minute items, making sure everything is set for our two spacewalking astronauts today.",580.8823,589.32715
"Once again, they're gonna be working on the mounting packet for what will be a solar array.",590.02655,595.35364
What you're saying now is the Rosa solar array,595.35364,599.99994
This was essentially what you'll see when it is eventually on orbit.,600.03992,603.5581601
This was on orbit a few years ago.,603.5581601,605.65736
"Back in twenty seventeen, they conducted a test to make sure that this technology would work, that it would work in space draw power and unfurl as expected.",605.9569603,616.7713
That test was completed and the Rosa solar array was was then ejected from the International Space Station completing that test.,617.1399,629.252599
The Irosa solar arrays that are planned to arrive on the International Space Station the first set being later this year will look a little bit like that.,633.2688760000001,643.4327800000001
"Back in the equipment lock of the International Space Station, again, the space walking astronauts getting ready for today, getting all their tools and tethers in place.",653.05768,661.4426970000001
You can see a fixed to the side of Victor Glover there.,661.4426970000001,665.56993
On the left is the PGT pistol grip tool.,665.72985,668.84829
That'll be the primary tool for today's activities.,668.84829,671.3872700000001
"Again, installing the brackets on the mass canisters of p six, the port six truss.",672.74485,678.1623900000001
"The pistol grip tool will be used very frequently to actually a fix that structure to the mass canister, getting a little away from Kate Rubin's who's getting situated.",678.3820350000001,687.7274500000001
"Her her On the back of her suit, that's where all of her consumables and power and the lithium ion battery that's gonna be providing energy and and consumables to her throughout the duration of our planned six and a half hours.",687.907106,700.998735
"Unique to today's spacewalk, you can see much better now that Kate is facing towards the camera.",706.8640700000001,713.48931
"On the very left side, you can see something new fixed to the top of her helmet.",713.48931,718.7266900000001
This is called a HEKA camera.,718.7266900000001,720.4660700000001
This is the configuration as it was tested in the lab.,722.5145,725.193154
"What you're seeing on the left there is a new high definition camera that will be providing wide angle, high definition views downlinked for us to view during the spacewalk today.",725.193154,737.1261400000001
"Of course, we'll still have some of the standard definition views on the other end of the suit.",738.0847,745.58121
"But this HEKA camera, the high definition camera, was affixed a couple weeks ago, tested out, making sure that the connection was good, was drawing power.",746.41983,753.99629
And the heck of cameras themselves are are looking good for their first run during today's spacewalk.,754.2748300000001,760.73184
We should be getting some unique views Here's some b roll of of Kate Rubens herself fixing that HEKA Camera.,760.7515900000001,767.35774
The configuration itself is is quite simple.,768.81676,771.2847
The the at the very top is the high definition camera.,771.2847,774.26346
"Once it is completely installed and drawing power, there will be green LED light that just shows that it is a that that power is flowing through that system.",775.0028400000001,785.67709
"And at the bottom there, you can sort of see that silver knob, that's just a simple toggle switch, power switch.",786.29654,792.1438
"If you're familiar with spacewalks, you know that sometimes they have to power cycle their WVS or wireless video system, essentially resetting it and and reestablishing the connection needed to provide views from the International Space Station from their suits themselves.",793.32297,810.68277
And that's just a simple power switch to to power cycle that high definition view.,810.90241,815.1605400000001
"The current wireless capability for HEKA will allow us to see some of those high definition views mostly on the way to and from today's worksite out at the far end of the p six truss, port six truss coverage at the port six Trust is a little bit spotty when it comes to the high definition camera.",817.74883,834.8983000000001
"So we may have to rely on some of those standard definition views more so, but we'll still see if we can get some of those high definition views.",834.8983000000001,843.1039000000001
Kate Rubin's for her space walking procedures today will be on at the top of a a foot restraint to get her the proper angle to affix the mounting bracket to the mass canister.,843.5634200000001,856.13724
That gives her a good angle at first installing a centerpiece and then some of the struts on the side of the mast canister.,856.51679,863.96262
"Hopefully, we'll be getting some good views from her.",864.38214,867.0011000000001
"There's plenty of time on the timeline today as Naguchi and Hopkins, both unsuited in the equipment lock right now.",877.35492,884.25171
Continue to work with the two spacewalking astronauts helping them to get set up for today's activities.,885.00974,890.46726
"For those just tuning in, you're getting a live look at the International Space Station inside the Quest Airlock.",1028.7288800000001,1034.22638
Currently positioned in the equipment lock.,1034.9248400000001,1037.44357
Two astronauts are in the EMU space suits.,1037.44357,1041.82166
Time is zero nine four six.,1043.36994,1045.42917
Copy.,1048.68729,1049.18729
O nine forty six.,1049.60681,1051.10632
I need you to fan back on at this time.,1055.91269,1058.69156
I'm a searchable of closed and locked EVO on the features.,1068.51462,1072.1330600000001
That's straight to price.,1087.7429200000001,1089.00254
Autopress.,1096.71724,1097.21724
Autopress.,1097.55679,1097.80679
Autopress.,1097.80679,1098.30679
ECM verge open and lock if you want me to choose.,1119.00424,1122.18284
Station on one that we started.,1131.85651,1134.01494
"See you assume it as far as far as expected, please.",1134.05494,1136.71384
Copy.,1138.29279,1138.79279
